,Original index,pm-Containers.pLMN-Identity,list-of-matched-UEs.ueId,cellObjectID,timestamp,list-of-matched-UEs.pmType,pm-Containers.QCI,pm-Containers.dl-PRBUsage,pm-Containers.ul-PRBUsage,pm-Containers.dl-TotalofAvailablePRBs,pm-Containers.ul-TotalofAvailablePRBs,pm-Containers.nRCGI.nRCellIdentity,list-of-matched-UEs.pmVal,Test ID
130,655,b'111',b'00004',1115,1700747375.8668706,DRB.UEThpDl.UEID,-1.0,66.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1680.0,4
131,659,b'111',b'00007',1114,1700747375.8987978,DRB.UEThpDl.UEID,-1.0,64.0,0.0,139.0,139.0,b'64\x00\xbb\xf0',6397.0,4
132,674,b'111',b'00007',1114,1700747400.146637,DRB.UEThpDl.UEID,-1.0,41.0,0.0,139.0,139.0,b'64\x00\xbb\xf0',5926.0,4
133,690,b'111',b'00009',1112,1700747400.2239788,DRB.UEThpDl.UEID,-1.0,54.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',2142.0,4
134,691,b'111',b'00012',1112,1700747400.2239788,DRB.UEThpDl.UEID,-1.0,54.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',592.0,4
135,692,b'111',b'00005',1112,1700747400.2239788,DRB.UEThpDl.UEID,-1.0,54.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',321.0,4
136,693,b'111',b'00011',1112,1700747400.2239788,DRB.UEThpDl.UEID,-1.0,54.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',25125.0,4
137,694,b'111',b'00006',1112,1700747400.2239788,DRB.UEThpDl.UEID,-1.0,54.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',919.0,4
138,710,b'111',b'00001',1115,1700747400.3093786,DRB.UEThpDl.UEID,-1.0,57.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',671.0,4
139,711,b'111',b'00002',1115,1700747400.3093786,DRB.UEThpDl.UEID,-1.0,57.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',2127.0,4
140,712,b'111',b'00003',1115,1700747400.3093786,DRB.UEThpDl.UEID,-1.0,57.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',3861.0,4
141,713,b'111',b'00004',1115,1700747400.3093786,DRB.UEThpDl.UEID,-1.0,57.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1463.0,4
142,714,b'111',b'00010',1115,1700747400.3093786,DRB.UEThpDl.UEID,-1.0,57.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1249.0,4
143,744,b'111',b'00012',1112,1700747428.6209905,DRB.UEThpDl.UEID,-1.0,74.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',694.0,4
144,745,b'111',b'00005',1112,1700747428.6209905,DRB.UEThpDl.UEID,-1.0,74.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',300.0,4
145,746,b'111',b'00011',1112,1700747428.6209905,DRB.UEThpDl.UEID,-1.0,74.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',25125.0,4
146,747,b'111',b'00009',1112,1700747428.6209905,DRB.UEThpDl.UEID,-1.0,74.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1924.0,4
