,DRB QCI,DL PCDP Bytes,UL PDCP Bytes,PLMN ID,Interface type,UE ID,Timestamp,Test ID
534,0.0,0.0,0.0,b'111',x2-u,b'00012',161.94484066963196,3
535,0.0,0.0,0.0,b'111',x2-u,b'00001',186.29189014434814,3
536,0.0,0.0,0.0,b'111',x2-u,b'00010',186.29189014434814,3
537,0.0,0.0,0.0,b'111',x2-u,b'00003',186.29189014434814,3
538,0.0,0.0,0.0,b'111',x2-u,b'00002',186.29189014434814,3
539,0.0,0.0,0.0,b'111',x2-u,b'00004',186.31097960472107,3
540,0.0,0.0,0.0,b'111',x2-u,b'00009',186.31097960472107,3
541,0.0,0.0,0.0,b'111',x2-u,b'00006',186.31097960472107,3
542,0.0,0.0,0.0,b'111',x2-u,b'00012',186.31097960472107,3
543,0.0,0.0,0.0,b'111',x2-u,b'00001',186.31097960472107,3
544,0.0,0.0,0.0,b'111',x2-u,b'00005',186.31097960472107,3
545,0.0,0.0,0.0,b'111',x2-u,b'00011',186.31097960472107,3
546,0.0,0.0,0.0,b'111',x2-u,b'00007',186.31097960472107,3
547,0.0,0.0,0.0,b'111',x2-u,b'00010',214.74737071990967,3
548,0.0,0.0,0.0,b'111',x2-u,b'00001',214.74737071990967,3
549,0.0,0.0,0.0,b'111',x2-u,b'00003',214.74737071990967,3
550,0.0,0.0,0.0,b'111',x2-u,b'00002',214.74737071990967,3
551,0.0,0.0,0.0,b'111',x2-u,b'00004',214.76127815246582,3
552,0.0,0.0,0.0,b'111',x2-u,b'00007',214.76127815246582,3
553,0.0,0.0,0.0,b'111',x2-u,b'00003',214.76127815246582,3
554,0.0,0.0,0.0,b'111',x2-u,b'00006',214.76127815246582,3
555,0.0,0.0,0.0,b'111',x2-u,b'00011',214.76127815246582,3
556,0.0,0.0,0.0,b'111',x2-u,b'00012',214.76127815246582,3
557,0.0,0.0,0.0,b'111',x2-u,b'00009',214.76127815246582,3
558,0.0,0.0,0.0,b'111',x2-u,b'00010',214.76127815246582,3
559,0.0,0.0,0.0,b'111',x2-u,b'00005',214.7713668346405,3
560,0.0,0.0,0.0,b'111',x2-u,b'00002',239.13686347007751,3
561,0.0,0.0,0.0,b'111',x2-u,b'00004',239.13686347007751,3
562,0.0,0.0,0.0,b'111',x2-u,b'00006',239.15114402770996,3
563,0.0,0.0,0.0,b'111',x2-u,b'00007',239.15114402770996,3
564,0.0,0.0,0.0,b'111',x2-u,b'00011',239.15114402770996,3
565,0.0,0.0,0.0,b'111',x2-u,b'00009',239.15114402770996,3
566,0.0,0.0,0.0,b'111',x2-u,b'00003',239.15114402770996,3
567,0.0,0.0,0.0,b'111',x2-u,b'00012',239.15114402770996,3
568,0.0,0.0,0.0,b'111',x2-u,b'00010',239.15114402770996,3
569,0.0,0.0,0.0,b'111',x2-u,b'00001',239.16243171691895,3
570,0.0,0.0,0.0,b'111',x2-u,b'00005',239.16243171691895,3
571,0.0,0.0,0.0,b'111',x2-u,b'00002',263.513797044754,3
572,0.0,0.0,0.0,b'111',x2-u,b'00003',263.513797044754,3
573,0.0,0.0,0.0,b'111',x2-u,b'00004',263.513797044754,3
574,0.0,0.0,0.0,b'111',x2-u,b'00011',263.52767610549927,3
575,0.0,0.0,0.0,b'111',x2-u,b'00012',263.52767610549927,3
576,0.0,0.0,0.0,b'111',x2-u,b'00006',263.52767610549927,3
577,0.0,0.0,0.0,b'111',x2-u,b'00010',263.52767610549927,3
